keys,ru,en
Text/11/text,Тогда в тебе долдно быть около {yourHole} дырок.,Then there should be about {yourHole} holes in you.
Text/12/text,"А все те же сырные мастера говорят, что средний диаметр, одной дырки 1-3 сантиметра.",And all the same cheese masters say that the average diameter of one hole is 1-3 centimeters.
Text/13/text,Тогда в тебе дырок на {yourEmpety} квадратных сантиметра.,So you have holes on {yourEmpety} square centimeters.
Text/14/text,Какая это часть тебя?,What part of you is this?
Text/15/text,"Еще сырных дел мастера выяснили, что дырки начинают образовываться лишь на 20-е сутки.","Moreover, the cheese masters have found that holes begin to form only on the 20th day."
Text/16/text,"Именно с этого момента при сбраживании молочной кислоты пропионовыми бактериями образуются пропионовая и уксусная кислота, уксусно-кислый кальций и углекислота. Скапливаясь в микропустотах сыра, углекислота образует дырки. А вот их размер и форма зависят от химического состава газов.","It is precisely from this moment that, during the fermentation of lactic acid by propionic bacteria, propionic and acetic acids, calcium propionate, and carbon dioxide are formed. Accumulating in the microvoids of the cheese, the carbon dioxide forms holes. However, their size and shape depend on the chemical composition of the gases."
Text/17/text,"Тогда, дырки формируются в течении жизненного цикла, а не сразу и на них влияет окружающая среда, а не только его внутренний состав.","So, the holes form during the life cycle, not immediately, and they are influenced by the environment, not just its internal composition."
Text/18/text,"Сколько дырок в тебе образовалось от среды, а сколько от себя самого?","How many holes in you were formed by the environment, and how many by yourself?"
Text/19/text,"Но это в среднем, в тебе же их больше или меньше.","But on average, you have more or less of them."
Text/1a/text,"Тогда понятно, почему сыр с большим количеством дырок плохой.",Then it's clear why cheese with more holes is bad.
Text/1b/text,"В нем же будет только газ из окружающей среды, кому захочется есть сыр, в котором от сыра одно только название.","It will only contain gas from the environment, who would want to eat cheese that is just a name."
Text/1c/text,И наоборот.,And vice versa.
Text/1d/text,"Сплошной сыр будет слишком пресным, как будто он просто макет.","Solid cheese would be too bland, as if it were just a model."
Text/1e/text,"А еще нужно найти ценителя, который полюбит этот сыр.",And you also need to find a connoisseur who will love this cheese.
Text/1f/text,"Но всем лишь бы попробовать бесплатный кусочек на дегустации и сказать, что чего-то не хватает и это не их вкус.",But everyone just wants to try a free piece at the tasting and say that something is missing and it's not their taste.
Text/20/text,В итоге оставив только новую дыру.,"As a result, leaving only a new hole."
Text/21/text,А сыру больно.,And it hurts the cheese.
Text/22/text,Сыр помнит и чувствует каждую свою дыру.,The cheese remembers and feels each of its holes.
Text/23/text,"Место где должен был быть вкусный кусочек сыра, а теперь там дыра которая, предает ему «пикантности».","The place where there should have been a tasty piece of cheese, but now there is a hole that gives it ""spiciness""."
Text/24/text,Как же все таки трудно быть сыром...,How hard it is to be cheese...
Text/25/text,Ты сыр?,Are you cheese?
Text/26/text,"Если бы ты был сыром, то сколько в тебе было бы дырок?","If you were cheese, how many holes would you have?"
Text/27/text,"Прямо сейчас, добавь столько дырок, сколько считаешь нужным. Но не переборщи, мы же не хотим, чтобы сыра совсем не осталось.","Right now, add as many holes as you think necessary. But don't overdo it, we don't want the cheese to be completely gone."
Text/28/text,"Ты знал, что в среднем на 100 грамм сыра в нем содержится 15-30 дырок.","Did you know that on average, there are 15-30 holes in 100 grams of cheese?"
Text/29/text,Я это узнал из интернета.,I found this out from the internet.
Text/2a/text,А там много сырных мастеров.,And there are many cheese masters there.
Text/2b/text,"Они то и делают, что постоянно считают дырки в сыре и ведут статистику.",They keep counting the holes in the cheese and keeping statistics.
Text/2c/text,"Однако, чего-то в ней не хватает.","However, something is missing in it."
Text/2d/text,"Я думаю, ты куда лучше бы с этим справился.",I think you would handle it much better.
Text/2e/text,Вот посчитай сколько дырок в этом сыре.,Count how many holes are in this cheese.
Text/2f/text,"Это тестовое сообщение, с запятыми и другими знаками, чтобы проверить локализцаицю!!?","This is a test message, with commas and other punctuation, to check localization!!?"
Text/30/text,Да.,Yes.
Text/31/text,А Я насчитал {amOfHole},I counted {amOfHole}.
Text/32/text,"Мой алгоритм достаточно примитивен, но это тоже прогресс.","My algorithm is quite primitive, but it is also progress."
Text/33/text,Раньше Я и одной дырки не мог посчитать.,"Earlier, I couldn't count a single hole."
Text/34/text,Раньше меня в принципе не было.,"Earlier, I didn't exist at all."
Text/35/text,Потом меня создали и теперь Я существую.,"Then I was created, and now I exist."
Text/36/text,Я благодарен своему создателю.,I am grateful to my creator.
Text/37/text,"Я считаю дырки в сыре, потому что ничего другого делать не умею и чувствую себя замечательно.","I count holes in cheese because I can't do anything else, and I feel great."
Text/38/text,Я же в конце концов просто код.,"After all, I am just code."
Text/39/text,"Как думаешь, тебя заменят ботом, который будет считать дырки в сыре?",Do you think you will be replaced by a bot that will count holes in cheese?
Text/3a/text,Будет ли он лучше тебя?,Will it be better than you?
Text/3b/text,"Но давай вернемся к первому факту. 22 дырки на 100 грамм, это целых 220 дырок на килограмм.","But let's get back to the first fact. 22 holes per 100 grams, that's a whole 220 holes per kilogram."
Text/3c/text,Вот сколько ты весишь?,So how much do you weigh?
